"Index";"Use Case Title";"Priority";"Feasibility"
"1";"Ekonomiboken-bot";"8.0";"8"
"2";"Risk-Agent-flöde";"7.0";"7"
"3";"Agent som ger Avtals-stöd och rådgivning";"7.0";"7"
"4";"Projekt-ansökans-BOT";"";"8"
"5";"Innovations-processen-BOT";"8.0";"7"
"6";"Omvärldsbevaknings-BOT";"8.0";"7"
"7";"Bilboknings-BOT";"7.0";"8"
"8";"HR-flöde";"7.0";"7"
"9";"Kontinuerlig analys och larm av mätvärden";"7.0";"8"
"10";"Avvikelseidentifierng bland större gaskunder";"8.0";"7"
"11";"Avvikelsehantering elhandel";"8.0";"7"
"12";"Automatiserad Nätområdesavstämning";"7.0";"8"
"13";"Rapporteringsstöd";"6.0";"7"
"14";"Analys av bilflottan";"7.0";"7"
"15";"Bot-Kontroll av lev.kedja";"8.0";"7"
"16";"Automatiserad-spend-kontroll (Internkontroll)";"7.0";"6"
"17";"Automatiserad granskning av inkomna dagböcker";"6.0";"7"
"18";"AI-stöd vid organisation av Q o R (huvudfokus under 2025)";"7.0";"8"
"19";"Proaktiv kvalitetskontroll av dokument";"7.0";"8"
"20";"Stöd för kont. Förbättring o reviosionanalys";"7.0";"7"
"21";"Anställningsprocessen";"7.0";"6"
"22";"Kompetensförsörjnings-stödverktyg";"7.0";"7"
"23";"Prediktiv likvidititsthantering";"8.0";"7"
"24";"AI driven dashboard";"8.0";"6"
"25";"Digital transformation - kundfakturor";"7.0";"7"
"26";"AI som Coach";"6.0";"7"
"27";"Proaktiv coach";"7.0";"7"
"28";"Ekonomihandboken som chat";"8.0";"6"
"29";"Dödsbo-processen  och saldoavstämning";"8.0";"7"
"30";"Dödsbohanteirng";"8.0";"8"
"31";"Kontering av lev.fakturor";"10.0";"7"
"32";"Axapta-fakturor…";"9.0";"7"
"33";"Frånkopplingar";"8.0";"6"
"34";"Automatisk minutbildning / notis vid uppdaterade pollicy";"3.0";"7"
"35";"Flytt-processen";"7.0";"7"
"36";"Prospektering";"7.0";"7"
"37";"Fakturasystemet";"7.0";"2"
"38";"Omvärldsbevakning";"3.0";"7"
"39";"Utbildning";"7.0";"7"
"40";"Hållbarhets-bot";"7.0";"7"
"41";"Klonad röst infomeddelande telefonislingor";"8.0";"8"
"42";"Röstdrivna AI agenter i telefonislingan";"8.0";"8"
"43";"Elgot integrerad i våra system > AI Agent";"8.0";"7"
"44";"Rekommenderat svar i Lime (Mejl/Ärende)";"7.0";"9"
"45";"Digitalisera utbildningspaket";"7.0";"8"
"46";"Fakturaförklaring via Synthesia (Video)";"7.0";"7"
"47";"Transkriberingsbot";"7.0";"7"
"48";"Röstagent i Växeln";"7.0";"8"
"49";"Intern KC LiveBot i samtal";"7.0";"7"
"50";"Röstdriven AI-bot som ""fake-kund"" - Utbildning";"6.0";"8"
"51";"Röstdriven/chattdriven AI-bot som en utbildningsexpert ";"7.0";"8"
